iter	Passed	Remaining
575	1334	982
576	1336	979
577	1338	977
578	1340	974
579	1342	972
580	1345	969
581	1347	967
582	1349	965
583	1352	963
584	1354	961
585	1357	958
586	1360	957
587	1362	954
588	1364	952
589	1366	949
590	1368	947
591	1370	944
592	1372	942
593	1374	939
594	1376	937
595	1379	934
596	1381	932
597	1383	930
598	1385	927
599	1387	924
600	1389	922
601	1391	919
602	1393	917
603	1395	914
604	1397	912
605	1400	910
606	1402	908
607	1404	905
608	1407	903
609	1409	901
610	1411	898
611	1413	896
612	1415	893
613	1418	891
614	1420	888
615	1422	886
616	1424	884
617	1426	881
618	1428	879
619	1431	877
620	1433	874
621	1435	872
622	1438	870
623	1440	867
624	1442	865
625	1444	863
626	1446	860
627	1448	858
628	1451	855
629	1453	853
630	1455	851
631	1457	848
632	1459	846
633	1461	843
634	1463	841
635	1466	839
636	1468	836
637	1470	834
638	1472	832
639	1475	829
640	1477	827
641	1479	824
642	1481	822
643	1484	820
644	1487	818
645	1489	816
646	1492	814
647	1493	811
648	1496	809
649	1498	806
650	1500	804
651	1502	801
652	1504	799
653	1506	796
654	1508	794
655	1510	792
656	1512	789
657	1515	787
658	1517	784
659	1519	782
660	1521	780
661	1523	777
662	1525	775
663	1528	773
664	1530	771
665	1533	769
666	1536	766
667	1538	764
668	1540	762
669	1543	760
670	1545	757
671	1547	755
672	1549	752
673	1550	750
674	1552	747
675	1554	745
676	1557	742
677	1559	740
678	1561	738
679	1563	735
680	1565	733
681	1567	730
682	1569	728
683	1571	726
684	1574	723
685	1576	721
686	1579	719
687	1582	717
688	1584	715
689	1587	713
690	1589	710
691	1591	708
692	1593	705
693	1595	703
694	1597	701
695	1599	698
696	1601	696
697	1603	693
698	1606	691
699	1608	689
700	1610	687
701	1612	684
702	1614	682
703	1617	679
704	1619	677
705	1621	675
706	1624	673
707	1627	671
708	1629	668
709	1631	666
710	1634	664
711	1637	662
712	1639	659
713	1641	657
714	1643	655
715	1646	652
716	1648	650
717	1650	648
718	1652	645
719	1654	643
720	1656	640
721	1658	638
722	1660	636
723	1662	633
724	1664	631
725	1666	629
726	1669	626
727	1671	624
728	1673	622
729	1676	620
730	1679	617
731	1681	615
732	1683	613
733	1686	611
734	1688	608
735	1690	606
736	1692	603
737	1694	601
738	1696	599
739	1698	596
740	1700	594
741	1702	591
742	1704	589
743	1706	587
744	1708	584
745	1711	582
746	1713	580
747	1715	578
